sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,0:0,0:1,0:2,0:3,1:0,1:1,1:2,1:3,1:4,1:5,1:6,1:7,1:8,1:9,1:10,1:11,1:12,1:13,1:14,2:0,2:1,2:2,2:3,2:4,2:5,2:6,2:7,2:8,2:9,2:10,2:11,2:12,2:13,3:0,3:1,3:2,3:3,3:4,3:5,3:6,3:7,3:8,3:9,3:10,3:11,3:12,3:13,4:0,4:1,4:2,4:3,4:4,5:0,5:1,5:2,5:3,5:4,5:5,5:6,5:7,5:8,5:9,5:10,5:11,5:12,5:13,5:14,5:15,5:16,5:17,5:18,5:19,5:20,5:21,5:22,5:23,6:0,6:1,6:2,6:3,7:0,7:1,7:2,7:3,7:4,7:5,7:6,7:7,8:0,8:1,8:2,8:3,8:4,8:5,9:0,9:1,9:2,target
211,0.1575342465753424,0.0201173198719297,0.4444444444444444,0.625,0.3840579710144927,0.0,0.0648032885674931,0.0829199149539333,0.0315802680247579,0.1695205479452055,0.1414075286415712,0.1216154199173933,0.1680350923745397,0.0102176932656384,0.0998492840994725,0.3333333333333333,0.0287671232876712,0.3333333333333333,0.1914383561643835,0.25,0.3333333333333333,0.25,0.204337899543379,0.7136923989715859,0.4417808219178082,0.3335543984388585,0.1099702690174389,0.0853021462021988,0.1739130434782608,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.2727272727272727,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0876267185113178
212,0.2123287671232876,0.0426277781672859,0.5555555555555556,0.5,0.9927536231884058,0.9833333333333332,0.0648032885674931,0.0063784549964564,0.0315802680247579,0.5034246575342466,0.1983633387888707,0.2014685635612666,0.1680350923745397,0.0102176932656384,0.1654107008289374,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.375,0.3333333333333333,0.3333333333333333,0.204337899543379,0.990909090909091,0.5,0.3244005641748942,0.116686114352392,0.0402193784277879,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.1818181818181818,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2098319677822524
213,0.1746575342465753,0.034307882867092,0.6666666666666666,0.5,0.9927536231884058,0.9833333333333332,0.0648032885674931,0.1456413890857547,0.0315802680247579,0.0333904109589041,0.1472995090016366,0.1372189077558513,0.4455205811138014,0.0102176932656384,0.2859834212509419,0.3333333333333333,0.0287671232876712,0.6666666666666666,0.5,0.375,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.990909090909091,0.5,0.4541607898448519,0.1960326721120186,0.1974405850091407,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.5454545454545454,0.75,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.3024274406332454
214,0.0753424657534246,0.0573418401925728,0.4444444444444444,0.5,0.8913043478260869,0.75,0.0648032885674931,0.1268603827072998,0.0315802680247579,0.1172945205479452,0.1620294599018003,0.1505277650298302,0.1680350923745397,0.0102176932656384,0.1235870384325546,0.1417808219178082,0.5,0.3333333333333333,0.1914383561643835,0.375,0.3333333333333333,0.25,0.204337899543379,0.8727272727272727,0.5,0.4062059238363892,0.2613768961493582,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.5454545454545454,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1681710873489793
215,0.1679793094795433,0.0448713454392484,0.5555555555555556,0.75,0.7608695652173914,0.45,0.095625,0.0669737774627923,0.0315802680247579,0.1331335616438356,0.1127659574468085,0.0814593850390087,0.3404358353510895,0.0102176932656384,0.1993217784476262,0.1417808219178082,0.0287671232876712,0.3333333333333333,0.5,0.375,0.3333333333333333,0.3333333333333333,0.204337899543379,0.7,0.25,0.2108603667136812,0.1099702690174389,0.0658135283363802,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0290322580645161,0.1818181818181818,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1761560894320233
216,0.1746575342465753,0.0407160718876346,0.4444444444444444,0.625,0.6159420289855072,0.7666666666666667,0.04,0.0637845499645641,0.0315802680247579,0.3039383561643836,0.1751227495908347,0.2069756769160165,0.1680350923745397,0.0102176932656384,0.1699321778447626,0.1417808219178082,0.5,0.3333333333333333,0.1914383561643835,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5181818181818182,0.25,0.3152327221438646,0.1099702690174389,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.3636363636363636,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.1382446882377447
217,0.1506849315068493,0.0334198041552735,0.6666666666666666,0.5,0.9565217391304348,0.9,0.16625,0.1676116229624379,0.0315802680247579,0.2097602739726027,0.2350245499181669,0.2528682882055989,0.1680350923745397,0.0102176932656384,0.207611152976639,0.3333333333333333,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.375,0.3333333333333333,0.5,0.204337899543379,0.9454545454545454,0.5,0.3413258110014104,0.1621936989498249,0.1791590493601462,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.2727272727272727,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.243160672128871
219,0.1679793094795433,0.0671200542195424,0.6666666666666666,1.0,0.4855072463768116,0.9333333333333332,0.195,0.0604181431608788,0.0315802680247579,0.1956335616438356,0.1306055646481178,0.1842588343276732,0.3956416464891041,0.0102176932656384,0.3051996985681989,0.1417808219178082,0.5,0.3333333333333333,0.5,0.375,0.3333333333333333,0.5,0.6666666666666666,0.3545454545454545,0.5,0.3039492242595205,0.1099702690174389,0.2175502742230347,0.2717391304347826,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.3636363636363636,0.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3841133175947785
220,0.0753424657534246,0.0079927084063661,0.6666666666666666,0.5,0.9637681159420288,0.9333333333333332,0.01,0.0028348688873139,0.0315802680247579,0.5273972602739726,0.2042553191489361,0.2097292335933914,0.1680350923745397,0.0102176932656384,0.1721929163526752,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.25,0.3333333333333333,0.25,0.204337899543379,0.9545454545454546,0.5,0.308885754583921,0.1260210035005834,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.1818181818181818,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.1837800305513123
221,0.1780821917808219,0.0359438173362312,0.6666666666666666,0.5,0.9710144927536232,0.9333333333333332,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.6412671232876712,0.2451718494271685,0.2670949977053694,0.1680350923745397,0.0102176932656384,0.2192916352675207,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.25,0.3333333333333333,0.25,0.204337899543379,0.9636363636363636,0.5,0.4760225669957686,0.4095682613768961,0.0603290676416819,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.2727272727272727,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.2360783224552145
222,0.1679793094795433,0.0316342985346701,0.5555555555555556,0.5,0.9420289855072465,0.8666666666666667,0.0648032885674931,0.0786037785307224,0.0315802680247579,0.4323630136986301,0.1653027823240589,0.1551170261587884,0.6087167070217918,0.0102176932656384,0.3641672946495855,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.9272727272727272,0.5,0.2750352609308886,0.1400233372228704,0.0840950639853747,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,1.0,0.75,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2292737119844466
223,0.2191780821917808,0.04755895206712,0.5555555555555556,0.625,0.7463768115942029,0.4166666666666667,0.0648032885674931,0.0974486180014174,0.0315802680247579,0.0697773972602739,0.1166939443535188,0.1094538779256539,0.3588377723970944,0.0102176932656384,0.2294649585531273,0.3333333333333333,0.0287671232876712,0.6666666666666666,0.5,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6818181818181818,0.5,0.306064880112835,0.2438739789964994,0.3802559414990859,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.0909090909090909,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2013609220941536
224,0.1678082191780822,0.0430017060459463,0.3333333333333333,0.625,0.717391304347826,0.35,0.0648032885674931,0.0928419560595322,0.1221166892808683,0.0684931506849315,0.1414075286415712,0.1216154199173933,0.1680350923745397,0.0102176932656384,0.0998492840994725,0.1417808219178082,0.0287671232876712,0.3333333333333333,0.1914383561643835,0.25,0.3333333333333333,0.1666666666666666,0.204337899543379,0.8090909090909091,0.5,0.4062059238363892,0.2520420070011668,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.1818181818181818,0.75,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0862380224968754
225,0.2808219178082192,0.0568931267381803,1.0,0.5,0.9492753623188406,0.8833333333333333,0.57625,0.0099220411055988,0.0315802680247579,1.0,0.3914893617021276,0.4722349701698026,0.1680350923745397,0.0102176932656384,0.3877166541070083,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.375,0.3333333333333333,0.5,0.3333333333333333,0.9363636363636364,0.75,0.6826516220028209,0.2893815635939323,0.1919561243144424,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.4545454545454545,0.75,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.4879183446743508
226,0.0,0.0017761574236369,0.4444444444444444,0.5,0.717391304347826,0.35,0.08875,0.0786037785307224,0.0315802680247579,0.2696917808219178,0.1031096563011456,0.0679210647085819,0.3254237288135593,0.0102176932656384,0.1823662396382818,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.5,0.375,0.3333333333333333,0.3333333333333333,0.204337899543379,0.8272727272727273,0.25,0.1974612129760225,0.1099702690174389,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.3636363636363636,0.75,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.107068462713512
227,0.2089041095890411,0.0404309518801561,0.6666666666666666,0.5,0.8913043478260869,0.75,0.18125,0.1001063075832742,0.0315802680247579,0.2731164383561644,0.1968903436988543,0.2019274896741624,0.6324455205811138,0.0102176932656384,0.4118311981914092,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.8636363636363636,0.75,0.5084626234132581,0.2613768961493582,0.2084095063985374,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.4545454545454545,0.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3542563532842661
228,0.0,0.0026595620369721,0.5555555555555556,0.625,0.7101449275362319,0.3333333333333333,0.079375,0.0568745570517363,0.0315802680247579,0.0693493150684931,0.079050736497545,0.0341899954107388,0.2440677966101695,0.0102176932656384,0.1230218538055765,0.1417808219178082,0.0287671232876712,0.3333333333333333,0.5,0.25,0.3333333333333333,0.25,0.204337899543379,0.7909090909090909,0.25,0.1974612129760225,0.1099702690174389,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.7272727272727273,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0987362866268573
229,0.1678082191780822,0.0337516651475846,0.4444444444444444,0.5,0.6884057971014492,0.2833333333333333,0.0648032885674931,0.1491849751948972,0.0315802680247579,0.0299657534246575,0.1492635024549918,0.132629646626893,0.1680350923745397,0.0102176932656384,0.1088922381311228,0.1417808219178082,0.0287671232876712,0.3333333333333333,0.1914383561643835,0.375,0.3333333333333333,0.25,0.3333333333333333,0.6727272727272727,0.25,0.236953455571227,0.1099702690174389,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.3636363636363636,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1251215109012637
230,0.0753424657534246,0.0087966533454859,0.6666666666666666,0.5,0.9637681159420288,0.9333333333333332,0.01,0.0028348688873139,0.0315802680247579,0.5809075342465754,0.2247135842880523,0.2801743919229004,0.1680350923745397,0.0102176932656384,0.2300301431801055,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.25,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.9545454545454546,0.5,0.3032440056417489,0.1668611435239206,0.036563071297989,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.3636363636363636,0.75,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2188584918761283
231,0.1780821917808219,0.0348687746850826,0.5555555555555556,0.625,0.6304347826086957,0.15,0.1375,0.0786037785307224,0.0315802680247579,0.5111301369863014,0.1954173486088379,0.1973382285452042,0.1680350923745397,0.0102176932656384,0.1620195930670685,0.3333333333333333,0.0287671232876712,0.3333333333333333,0.1914383561643835,0.375,0.3333333333333333,0.3333333333333333,0.204337899543379,0.5363636363636364,0.25,0.2200282087447108,0.1099702690174389,0.0853021462021988,0.217391304347826,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.2727272727272727,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1570615192334398
232,0.523972602739726,0.0646801748112832,0.7777777777777778,0.5,0.8913043478260869,0.7666666666666667,0.31625,0.1220765414599574,0.0315802680247579,0.3309075342465753,0.2392798690671031,0.2652592932537861,0.6314769975786925,0.0102176932656384,0.4634513941220798,0.3333333333333333,0.0287671232876712,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5833333333333334,0.3333333333333333,0.8636363636363636,0.75,0.5712270803949224,0.1099702690174389,0.2669104204753199,0.3659420289855072,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.5454545454545454,0.75,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5111790029162616
233,0.0,0.0017761574236369,0.5555555555555556,0.5,0.7246376811594203,0.3666666666666666,0.185625,0.0786037785307224,0.0315802680247579,0.206763698630137,0.079050736497545,0.0341899954107388,0.2440677966101695,0.0102176932656384,0.1230218538055765,0.1417808219178082,0.0287671232876712,0.3333333333333333,0.5,0.25,0.3333333333333333,0.25,0.3333333333333333,0.6545454545454545,0.25,0.2031029619181946,0.1099702690174389,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.4545454545454545,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0827662824607693
235,0.1679793094795433,0.0306200191638037,0.5555555555555556,0.5,0.9420289855072465,0.8666666666666667,0.0648032885674931,0.1107370659107016,0.0315802680247579,0.1005993150684931,0.1407528641571195,0.1206975676916016,0.5326876513317191,0.0102176932656384,0.3063300678221552,0.3333333333333333,0.0287671232876712,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.6666666666666666,0.9272727272727272,0.5,0.310296191819464,0.3360560093348891,0.0877513711151736,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.3636363636363636,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2521871962227468
236,0.0,0.0017761574236369,0.5555555555555556,0.25,0.717391304347826,0.35,0.3775,0.0634301913536499,0.0315802680247579,0.0535102739726027,0.079050736497545,0.0341899954107388,0.2440677966101695,0.0102176932656384,0.1230218538055765,0.1417808219178082,0.0287671232876712,0.3333333333333333,0.5,0.25,0.3333333333333333,0.25,0.204337899543379,0.6454545454545455,0.25,0.1861777150916784,0.1099702690174389,0.0853021462021988,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.6363636363636364,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0758228023885571
237,0.1506849315068493,0.0349295379653649,0.6666666666666666,0.5,0.9565217391304348,0.9,0.06125,0.0042523033309709,0.0315802680247579,0.5950342465753424,0.2314238952536824,0.2478201009637448,0.1680350923745397,0.0102176932656384,0.2034664657121326,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.375,0.3333333333333333,0.3333333333333333,0.204337899543379,0.9454545454545454,0.5,0.3483779971791255,0.1540256709451575,0.1919561243144424,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.3636363636363636,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2091376197750312
238,0.1679793094795433,0.0381079249339783,0.6666666666666666,0.75,0.8768115942028986,0.8833333333333333,0.0648032885674931,0.0712260807937632,0.0315802680247579,0.2542808219178082,0.1630114566284779,0.15603487838458,0.3535108958837772,0.0102176932656384,0.2656367746797287,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.5,0.375,0.3333333333333333,0.4166666666666667,0.204337899543379,0.8454545454545455,0.5,0.3222849083215797,0.4317386231038506,0.1279707495429616,0.0397719376613063,0.468503937007874,0.0313769977168949,0.0037383524520176,0.0028057445868316,0.0909090909090909,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2216358839050131
239,0.2465753424657534,0.0501530767253266,0.7777777777777778,0.5,0.9782608695652174,0.95,0.15875,0.0786037785307224,0.0315802680247579,0.7251712328767124,0.2772504091653028,0.3120697567691601,0.1680350923745397,0.0102176932656384,0.2562170308967596,0.1417808219178082,0.0287671232876712,0.6666666666666666,0.1914383561643835,0.375,0.3333333333333333,0.4166666666666667,0.204337899543379,0.9727272727272728,0.75,0.5768688293370945,0.1960326721120186,0.4168190127970749,0.0397719376613063,0.0067117894509761,0.0313769977168949,0.0037383524520176,0.0028057445868316,1.0,0.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.3931398416886543
